#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
88,CONTININS,24.3,24.3,24.1,0,23.7,0.6,13,1.045,"43,202"
89,COPPERTECH,20,20.3,19.9,0,19.9,0.1,23,0.363,"18,219"
90,CROWNCEMNT,45.3,47.4,45.3,0,45.8,-0.5,6,0.009,193
91,CRYSTALINS,45.7,46.1,44.7,0,44.8,0.9,131,2.663,"58,327"
92,CVOPRL,131.9,132.5,131.1,0,131.1,0.8,74,1.793,"13,588"
93,DACCADYE,17.3,17.5,17.3,0,17.2,0.1,2,0.061,"3,500"
94,DAFODILCOM,67.4,67.4,67.3,0,67.1,0.3,23,0.132,"1,965"
95,DBH,37,37,36.4,0,36.6,0.4,15,0.406,"11,019"
96,DBH1STMF,3.8,3.8,3.6,0,3.6,0.2,2,0.002,501
97,DELTALIFE,77.9,80.1,73.7,0,72.9,5,"1,426",67.664,"868,955"
98,DELTASPINN,6.2,6.4,6.1,0,6.2,0,45,0.355,"56,996"
99,DESCO,26.2,26.5,26.1,0,25.9,0.3,118,2.767,"105,062"
100,DESHBANDHU,20.8,21,20.6,0,20.6,0.2,116,3.862,"184,866"
101,DGIC,21,21.3,20.8,0,20.5,0.5,35,0.584,"27,795"
102,DHAKABANK,11.1,11.1,11,0,11,0.1,15,1.217,"109,691"
103,DHAKAINS,36.2,36.4,35.5,0,35.3,0.9,7,0.027,757
104,DOMINAGE,11.8,11.9,11.7,0,11.7,0.1,51,0.983,"83,511"
105,DOREENPWR,22.7,22.9,22.7,0,22.5,0.2,6,0.059,"2,610"
106,DSHGARME,74.3,76,74,0,74.1,0.2,9,0.121,"1,627"
107,DSSL,11.5,11.6,11.4,0,11.4,0.1,161,3.069,"266,857"
108,DULAMIACOT,77,79.9,77,0,75.4,1.6,8,0.081,"1,034"
109,DUTCHBANGL,51.5,52,51,0,51,0.5,11,0.154,"3,026"
110,EASTERNINS,43.8,43.9,43.8,0,43.4,0.4,7,0.081,"1,850"
111,EASTLAND,0,0,0,0,18.1,--,0,0,0
112,EASTRNLUB,"1,466.1","1,478.8","1,465",0,"1,462.8",3.3,138,3.433,"2,330"
113,EBL,25.9,25.9,25.8,0,25.9,0,6,0.027,"1,032"
114,EBL1STMF,4.7,4.8,4.7,0,4.7,0,12,0.097,"20,720"
115,EBLNRBMF,0,0,0,0,3.2,--,0,0,0
116,ECABLES,107.5,111.1,107.3,0,107,0.5,10,0.005,42
117,EGEN,23.6,23.7,23.4,0,23.4,0.2,78,2.491,"105,597"
118,EHL,72.6,72.9,72.5,0,72.4,0.2,82,1.797,"24,712"
119,EIL,48.9,49,48,0,48.4,0.5,4,0.006,118
120,EMERALDOIL,24.2,24.7,23.6,0,23.6,0.6,61,0.984,"41,211"
121,ENVOYTEX,43.5,43.5,43.5,0,43.2,0.3,1,0,1
122,EPGL,20.3,20.6,20.1,0,19.9,0.4,278,9.74,"478,197"
123,ESQUIRENIT,22.8,22.9,22.3,0,22.4,0.4,28,0.183,"8,143"
124,ETL,9.8,10,9.8,0,9.8,0,24,0.413,"41,985"
125,EXIM1STMF,3.1,3.1,3.1,0,3.1,0,1,0.031,"10,000"
126,EXIMBANK,6.7,6.7,6.7,0,6.7,0,16,0.397,"59,323"
127,FAMILYTEX,2.6,2.7,2.6,0,2.6,0,20,0.063,"23,568"
128,FARCHEM,24.1,24.3,24,0,24,0.1,47,0.613,"25,388"
129,FAREASTFIN,3.2,3.2,3.1,0,3.2,0,6,0.008,"2,445"
130,FAREASTLIF,32.1,32.1,30.9,0,29.9,2.2,180,2.689,"84,721"
131,FASFIN,3.3,3.5,3.3,0,3.3,0,18,0.192,"57,916"
132,FBFIF,3.1,3.1,3.1,0,3.1,0,6,0.077,"24,900"
133,FEDERALINS,17.7,17.7,17.6,0,17.4,0.3,8,0.248,"14,072"
134,FEKDIL,18.2,18.3,17.9,0,18.1,0.1,297,24.413,"1,349,869"
