#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
328,SAVAREFR,0,0,0,0,215.5,--,0,0,0
329,SBACBANK,8.9,9,8.9,0,8.9,0,11,0.352,"39,346"
330,SEAPEARL,37.7,38.6,37.7,0,38.2,-0.5,257,8.637,"225,475"
331,SEMLFBSLGF,4.3,4.3,4.2,0,4.3,0,16,0.638,"150,102"
332,SEMLIBBLSF,6,6.2,6,0,6,0,5,0.145,"23,400"
333,SEMLLECMF,6.7,6.7,6.7,0,6.7,0,8,0.419,"62,600"
334,SHAHJABANK,18.7,18.8,18.7,0,18.8,-0.1,4,0.081,"4,314"
335,SHARPIND,21.6,21.9,21.5,0,21.6,0,74,1.663,"76,550"
336,SHASHADNIM,18.8,18.8,18.7,0,18.7,0.1,17,0.294,"15,741"
337,SHEPHERD,18,18.2,18,0,18,0,28,1.119,"61,805"
338,SHURWID,8.4,8.6,8.3,0,8.4,0,11,0.078,"9,252"
339,SHYAMPSUG,102.2,105,101.4,0,101.2,1,10,0.065,626
340,SIBL,10,10.3,10,0,10,0,49,0.869,"86,472"
341,SICL,22.5,22.5,21.8,0,20.5,2,103,2.762,"122,839"
342,SILCOPHL,16.1,16.4,16.1,0,16.1,0,15,0.128,"7,930"
343,SILVAPHL,11.2,11.5,11.2,0,11.2,0,24,0.118,"10,401"
344,SIMTEX,19.5,19.7,19.5,0,19.6,-0.1,74,0.836,"42,537"
345,SINGERBD,106.9,106.9,106.9,0,106.2,0.7,3,0.002,20
346,SINOBANGLA,50.5,50.8,50.1,0,50.4,0.1,246,8.727,"172,810"
347,SIPLC,40,40,38.8,0,38.9,1.1,78,1.25,"31,404"
348,SKTRIMS,13.9,14,13.9,0,13.8,0.1,9,0.153,"10,978"
349,SONALIANSH,198.3,199.4,197.1,0,197.1,1.2,191,2.003,"10,109"
350,SONALILIFE,48.7,49,47.7,0,47.3,1.4,40,0.286,"5,912"
351,SONALIPAPR,159,159.5,157.5,0,157.1,1.9,226,3.004,"18,910"
352,SONARBAINS,23,23.2,22.7,0,22.5,0.5,5,0.012,517
353,SONARGAON,48.5,48.8,48,0,47.7,0.8,235,9.129,"188,104"
354,SOUTHEASTB,9.1,9.1,9,0,9,0.1,5,0.928,"102,024"
355,SPCERAMICS,17.4,17.6,17.2,0,17.3,0.1,351,9.651,"552,771"
356,SPCL,32.7,32.7,32.3,0,32.3,0.4,45,0.83,"25,540"
357,SQUARETEXT,51.5,51.5,51.5,0,51.2,0.3,1,0,1
358,SQURPHARMA,217.6,218,217.5,0,217.5,0.1,160,8.833,"40,572"
359,SSSTEEL,8.4,8.4,8.3,0,8.3,0.1,4,0.01,"1,203"
360,STANCERAM,0,0,0,0,66.3,--,0,0,0
361,STANDARINS,30,30,30,0,30,0,6,0.209,"6,970"
362,STANDBANKL,6,6.1,6,0,6,0,21,0.639,"106,377"
363,STYLECRAFT,64.6,64.6,63.4,0,63,1.6,171,2.223,"34,790"
364,SUMITPOWER,14.9,15,14.6,0,15.9,-1,207,5.335,"359,130"
365,SUNLIFEINS,68.6,69.4,68,0,67.5,1.1,422,16.895,"245,607"
366,TAKAFULINS,33.3,33.3,33.1,0,33.1,0.2,6,0.067,"2,025"
367,TALLUSPIN,6.3,6.3,6.2,0,6.1,0.2,6,0.013,"2,082"
368,TAMIJTEX,111.8,111.8,111.7,0,110,1.8,3,0,4
369,TECHNODRUG,33.1,33.3,33,0,33.1,0,91,1.464,"44,203"
370,TILIL,42,42.9,41,0,40.8,1.2,203,3.618,"85,813"
371,TITASGAS,21.4,21.6,21,0,21.3,0.1,75,0.758,"35,480"
372,TOSRIFA,21.8,22.2,21.5,0,22.1,-0.3,230,7.426,"341,311"
373,TRUSTB1MF,3.3,3.4,3.3,0,3.3,0,7,0.038,"11,494"
374,TRUSTBANK,22.2,22.2,22.1,0,22.1,0.1,3,0.069,"3,086"
375,TUNGHAI,3,3.1,2.9,0,2.9,0.1,18,0.137,"45,641"
376,UCB,10.6,10.6,10.5,0,10.5,0.1,30,2.401,"227,713"
377,UNILEVERCL,0,0,0,0,"2,509",--,0,0,0
378,UNIONBANK,3.9,4,3.9,0,4,-0.1,17,0.139,"35,105"
379,UNIONCAP,6.1,6.1,6.1,0,6,0.1,2,0.001,99
380,UNIONINS,26.2,26.6,25.8,0,25.4,0.8,39,0.422,"15,990"
381,UNIQUEHRL,42.5,42.7,42.4,0,42.4,0.1,7,0.112,"2,650"
382,UNITEDFIN,12.6,12.7,12.4,0,12.4,0.2,4,0.082,"6,502"
383,UNITEDINS,36.6,36.6,36.2,0,35.8,0.8,6,0.033,900
384,UPGDCL,119.2,120.3,119.2,0,119.7,-0.5,29,0.22,"1,844"
385,USMANIAGL,0,0,0,0,36.6,--,0,0,0
386,UTTARABANK,24.7,24.8,24.6,0,24.5,0.2,46,6.338,"256,676"
387,UTTARAFIN,15.1,15.1,15,0,15.3,-0.2,3,0.012,800
388,VAMLBDMF1,6,6,6,0,5.8,0.2,4,0.001,205
389,VAMLRBBF,4.8,4.8,4.8,0,4.6,0.2,6,0.052,"10,915"
390,VFSTDL,9,9.2,9,0,9.1,-0.1,33,0.202,"22,390"
391,WALTONHIL,471.4,474,468,0,467.9,3.5,87,2.165,"4,582"
392,WATACHEM,120,120,120,0,117.4,2.6,1,0.024,200
393,WMSHIPYARD,9.5,10,9.5,0,9.8,-0.3,44,0.386,"39,776"
394,YPL,12.6,12.7,12.5,0,12.5,0.1,20,0.378,"29,909"
395,ZAHEENSPIN,7.8,7.9,7.7,0,7.8,0,59,1.015,"129,501"
396,ZAHINTEX,5.1,5.1,5,0,4.9,0.2,14,0.032,"6,284"
397,ZEALBANGLA,0,0,0,0,82.5,--,0,0,0
